"event_id","route","R0","k","outcome","chain_size","hub_infections","generations","peak_infected","at_hub","spill_lat","spill_lon","hub_id","hub_dist_km","travel_time","n_swath_cells","n_hub_cells","mortality_sub_pandemic","pandora_handoff"
191,"single_case",0,0.4979922037558,"single_case",1,0,0,1,FALSE,0.708333333333361,31.2916666666666,22,13.0809756326705,61.3800010681152,32,7,0.01,FALSE
192,"nonspatial_sub",0.068014804351025,0.831254263723242,"extinct",1,0,1,1,FALSE,0.791666666666694,33.5416666666666,16,9.24999999999997,40.5299987792969,49,33,0.01,FALSE
193,"single_case",0,1.01302775278545,"single_case",1,0,0,1,FALSE,-0.458333333333305,31.8749999999999,26,13.0812661811814,102.279998779297,22,8,0.01,FALSE
194,"single_case",0,0.497049774190324,"single_case",1,0,0,1,FALSE,0.791666666666694,33.8749999999999,16,20.6832339322778,60.560001373291,59,41,0.01,FALSE
195,"single_case",0,1.26986562113668,"single_case",1,0,0,1,FALSE,3.37500000000003,34.3749999999999,3,66.6226279672883,279.369995117188,47,6,0.01,FALSE
196,"single_case",0,0.781662755374377,"single_case",1,0,0,1,FALSE,0.458333333333361,31.8749999999999,22,38.1375785603485,77.7200012207031,37,7,0.01,FALSE
197,"single_case",0,0.78172205878508,"single_case",1,0,0,1,TRUE,0.208333333333361,32.7916666666666,16,0,28.5400009155273,NA,NA,0.01,FALSE
198,"single_case",0,0.840461693296726,"single_case",1,0,0,1,FALSE,1.37500000000003,34.2083333333333,15,18.4946730205553,66.6100006103516,46,17,0.01,FALSE
199,"spatial",1.05240258572269,0.420280132605675,"extinct",1,0,1,1,FALSE,-0.958333333333305,30.2083333333333,29,29.2506592257358,69.5199966430664,34,10,0.01,FALSE
200,"nonspatial_sub",0.167715312776408,0.856331295903593,"extinct",1,0,1,1,FALSE,-0.291666666666639,31.2916666666666,26,29.2507272568405,87.3099975585938,33,8,0.01,FALSE
201,"nonspatial_sub",0.376431860206332,0.919086651570426,"extinct",1,0,1,1,TRUE,-1.2083333333333,29.9583333333333,29,0,9.69999980926514,NA,NA,0.01,FALSE
202,"single_case",0,1.95859522731678,"single_case",1,0,0,1,TRUE,-0.291666666666639,31.7916666666666,26,0,9.73999977111816,NA,NA,0.01,FALSE
203,"nonspatial_sub",0.318935877799329,0.938318992749355,"extinct",1,0,1,1,TRUE,3.45833333333336,30.9583333333333,4,0,15.8900003433228,NA,NA,0.01,FALSE
204,"single_case",0,0.432994611768792,"single_case",1,0,0,1,TRUE,1.12500000000003,34.2083333333333,16,0,8.42000007629395,NA,NA,0.01,FALSE
205,"single_case",0,0.694428546833946,"single_case",1,0,0,1,FALSE,2.54166666666669,32.9583333333333,9,9.25000000000002,39.7000007629395,41,18,0.01,FALSE
206,"single_case",0,1.18534392124015,"single_case",1,0,0,1,FALSE,2.04166666666669,34.0416666666666,11,18.4882558878563,45.2000007629395,50,25,0.01,FALSE
207,"nonspatial_sub",0.299913371710723,0.36771871063408,"extinct",2,0,2,1,FALSE,1.54166666666669,33.5416666666666,11,9.24999999999997,38.4000015258789,38,16,0.02,FALSE
208,"single_case",0,2.34532938246604,"single_case",1,0,0,1,FALSE,2.45833333333336,34.7083333333333,12,62.0052051624266,165.419998168945,47,5,0.01,FALSE
209,"single_case",0,1.08487069539117,"single_case",1,0,0,1,TRUE,1.04166666666669,34.0416666666666,16,0,16.1700000762939,NA,NA,0.01,FALSE
210,"single_case",0,0.574477326464929,"single_case",1,0,0,1,FALSE,1.29166666666669,34.0416666666666,15,9.25000000000002,32.560001373291,39,17,0.01,FALSE
211,"single_case",0,1.27169663371702,"single_case",1,0,0,1,FALSE,0.875000000000028,33.3749999999999,19,9.24892136592089,35.75,51,29,0.01,FALSE
